,F_equation_0,G_equation_0,type,state
28,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
29,x_1_0*(1.846 - 1.153*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
30,-0.289659279582613*x_1_0*(x_1_0 - 5.107)*(x_1_0 - 0.676) + 0.07,x_1_0*x_2_0/(0.898*x_1_0 + 0.09*x_2_0 + 5.847),Mutualistic,True
31,-3.881*x_1_0,3.121*x_2_0*(1 - x_1_0),Epidemic,True
32,-1.319*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
33,-x_1_0,exp(2.351*x_2_0)/(exp(2.351*x_2_0) + 824.235260932977),Neural,True
34,-7.596*x_1_0,1.27*x_2_0*(1 - x_1_0),Epidemic,True
35,9.89800000000000,8.806*sin(x_1_0*x_2_0),Kuramoto,True
36,-0.19956351468069*x_1_0*(x_1_0 - 4.261)*(x_1_0 - 1.176) + 0.065,x_1_0*x_2_0/(0.917*x_1_0 + 0.107*x_2_0 + 4.279),Mutualistic,True
37,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
38,-x_1_0,exp(2.739*x_2_0)/(exp(2.739*x_2_0) + 71.5288596692251),Neural,True
39,7.63600000000000,8.709*sin(x_1_0*x_2_0),Kuramoto,True
40,-x_1_0,exp(1.884*x_2_0)/(exp(1.884*x_2_0) + 137778.692591503),Neural,True
41,-1.388*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
42,-0.392835312437637*x_1_0*(x_1_0 - 4.562)*(x_1_0 - 0.558) + 0.108,x_1_0*x_2_0/(0.873*x_1_0 + 0.102*x_2_0 + 4.826),Mutualistic,True
43,-x_1_0,exp(2.898*x_2_0)/(exp(2.898*x_2_0) + 3194253.5888902),Neural,True
44,0.0,-0.769*x_1_0 + 0.769*x_2_0,Heat,True
45,-3.503*x_1_0 + 2.735*tanh(x_1_0),tanh(x_2_0),Excitation,True
46,6.27000000000000,7.3*sin(x_1_0*x_2_0),Kuramoto,True
47,-x_1_0,exp(1.287*x_2_0)/(exp(1.287*x_2_0) + 54.668244415568),Neural,True
48,-5.466*x_1_0,2.163*x_2_0*(1 - x_1_0),Epidemic,True
49,-x_1_0,exp(2.222*x_2_0)/(exp(2.222*x_2_0) + 84061900.8247739),Neural,True
50,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
51,8.19300000000000,7.2*sin(x_1_0*x_2_0),Kuramoto,True
52,-x_1_0,exp(1.794*x_2_0)/(exp(1.794*x_2_0) + 110476.930015226),Neural,True
53,-0.478*x_1_0**1.0,x_2_0**2.0,Population,True
54,x_1_0*(1.32 - 1.039*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
55,0.0,-0.651*x_1_0 + 0.651*x_2_0,Heat,True
56,-1.228*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
57,-6.893*x_1_0,2.136*x_2_0*(1 - x_1_0),Epidemic,True
58,-1.807*x_1_0**3.0,x_2_0**2.0,Population,True
59,-1.399*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
60,-0.309872283039822*x_1_0*(x_1_0 - 4.584)*(x_1_0 - 0.704) + 0.087,x_1_0*x_2_0/(0.949*x_1_0 + 0.117*x_2_0 + 4.917),Mutualistic,True
61,0.0,-1.58*x_1_0 + 1.58*x_2_0,Heat,True
62,-3.286*x_1_0 + 3.303*tanh(x_1_0),tanh(x_2_0),Excitation,True
63,-6.899*x_1_0,2.296*x_2_0*(1 - x_1_0),Epidemic,True
64,-x_1_0,exp(1.415*x_2_0)/(exp(1.415*x_2_0) + 821.675049509963),Neural,True
65,x_1_0*(1.146 - 1.975*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
66,-x_1_0,exp(0.739*x_2_0)/(exp(0.739*x_2_0) + 60.4725171593676),Neural,True
67,x_1_0*(0.704 - 1.688*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
68,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
69,-0.352*x_1_0**1.0,x_2_0**2.0,Population,True
70,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
71,-3.0*x_1_0,2.325*x_2_0*(1 - x_1_0),Epidemic,True
72,-0.924*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
73,-0.628*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
74,6.30500000000000,7.14*sin(x_1_0*x_2_0),Kuramoto,True
75,-2.562*x_1_0 + 4.596*tanh(x_1_0),tanh(x_2_0),Excitation,True
76,-2.44*x_1_0 + 3.736*tanh(x_1_0),tanh(x_2_0),Excitation,True
77,-0.18*x_1_0**3.0,x_2_0**1.0,Population,True
78,-1.006*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
79,-6.917*x_1_0,1.398*x_2_0*(1 - x_1_0),Epidemic,True
80,5.82300000000000,6.089*sin(x_1_0*x_2_0),Kuramoto,True
81,0.0,-1.186*x_1_0 + 1.186*x_2_0,Heat,True
82,-1.085*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
83,-6.728*x_1_0,1.043*x_2_0*(1 - x_1_0),Epidemic,True
84,-4.605*x_1_0 + 3.211*tanh(x_1_0),tanh(x_2_0),Excitation,True
85,x_1_0*(0.424 - 1.45*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
86,0.0,-0.868*x_1_0 + 0.868*x_2_0,Heat,True
87,-x_1_0,exp(1.942*x_2_0)/(exp(1.942*x_2_0) + 147924.901253454),Neural,True
88,-2.443*x_1_0,3.775*x_2_0*(1 - x_1_0),Epidemic,True
89,1.249*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
90,x_1_0*(0.129 - 1.74*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
91,-6.065*x_1_0,1.587*x_2_0*(1 - x_1_0),Epidemic,True
92,9.75500000000000,9.25*sin(x_1_0*x_2_0),Kuramoto,True
93,-3.885*x_1_0,2.091*x_2_0*(1 - x_1_0),Epidemic,True
94,x_1_0*(1.183 - 0.507*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
95,0.0,-1.691*x_1_0 + 1.691*x_2_0,Heat,True
96,-1.26*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
97,0.0,-1.076*x_1_0 + 1.076*x_2_0,Heat,True
98,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
99,0.0,-1.283*x_1_0 + 1.283*x_2_0,Heat,True
100,x_1_0*(0.501 - 0.95*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
101,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
102,-1.553*x_1_0**1.0,x_2_0**1.0,Population,True
103,-2.194*x_1_0 + 2.81*tanh(x_1_0),tanh(x_2_0),Excitation,True
104,6.45000000000000,6.782*sin(x_1_0*x_2_0),Kuramoto,True
105,-0.168345095324568*x_1_0*(x_1_0 - 5.299)*(x_1_0 - 1.121) + 0.087,x_1_0*x_2_0/(0.848*x_1_0 + 0.12*x_2_0 + 4.001),Mutualistic,True
106,1.297*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
107,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
108,-1.365*x_1_0**1.0,x_2_0**2.0,Population,True
109,-2.101*x_1_0 + 2.851*tanh(x_1_0),tanh(x_2_0),Excitation,True
110,-3.409*x_1_0 + 4.416*tanh(x_1_0),tanh(x_2_0),Excitation,True
111,0.731*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
112,9.64000000000000,9.824*sin(x_1_0*x_2_0),Kuramoto,True
113,-3.66*x_1_0,2.521*x_2_0*(1 - x_1_0),Epidemic,True
114,-0.698*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
115,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
116,-0.764*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
117,-1.606*x_1_0**1.0,x_2_0**2.0,Population,True
118,-1.929*x_1_0**3.0,x_2_0**1.0,Population,True
119,-1.363*x_1_0 + 3.372*tanh(x_1_0),tanh(x_2_0),Excitation,True
120,-4.981*x_1_0 + 4.197*tanh(x_1_0),tanh(x_2_0),Excitation,True
121,x_1_0*(0.963 - 0.954*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
122,1.449*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
123,-4.117*x_1_0 + 2.803*tanh(x_1_0),tanh(x_2_0),Excitation,True
124,-x_1_0,exp(2.966*x_2_0)/(exp(2.966*x_2_0) + 47274742281.4688),Neural,True
125,1.084*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
126,1.424*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
127,-3.931*x_1_0 + 3.8*tanh(x_1_0),tanh(x_2_0),Excitation,True
128,x_1_0*(0.917 - 0.268*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
129,-0.152*x_1_0**3.0,x_2_0**1.0,Population,True
130,0.0,-0.637*x_1_0 + 0.637*x_2_0,Heat,True
131,-1.023*x_1_0**1.0,x_2_0**1.0,Population,True
132,x_1_0*(0.04 - 1.838*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
133,7.79100000000000,9.317*sin(x_1_0*x_2_0),Kuramoto,True
134,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
135,7.44200000000000,9.547*sin(x_1_0*x_2_0),Kuramoto,True
136,-4.903*x_1_0 + 3.597*tanh(x_1_0),tanh(x_2_0),Excitation,True
137,7.47700000000000,5.868*sin(x_1_0*x_2_0),Kuramoto,True
138,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
139,-x_1_0,exp(1.736*x_2_0)/(exp(1.736*x_2_0) + 2280.48632581692),Neural,True
140,-0.435*x_1_0**1.0,x_2_0**1.0,Population,True
141,0.0,-0.543*x_1_0 + 0.543*x_2_0,Heat,True
142,1.408*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
143,-0.341959255554701*x_1_0*(x_1_0 - 4.755)*(x_1_0 - 0.615) + 0.051,x_1_0*x_2_0/(0.884*x_1_0 + 0.104*x_2_0 + 5.583),Mutualistic,True
144,x_1_0*(1.944 - 0.851*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
145,x_1_0*(0.723 - 1.761*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
146,-4.661*x_1_0,3.425*x_2_0*(1 - x_1_0),Epidemic,True
147,6.78200000000000,9.86*sin(x_1_0*x_2_0),Kuramoto,True
148,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
149,-1.226*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
150,-1.58*x_1_0**3.0,x_2_0**1.0,Population,True
151,-4.893*x_1_0 + 2.683*tanh(x_1_0),tanh(x_2_0),Excitation,True
152,1.422*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
153,-1.183*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
154,x_1_0*(0.221 - 1.479*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
155,-1.695*x_1_0**1.0,x_2_0**2.0,Population,True
156,-3.391*x_1_0 + 3.067*tanh(x_1_0),tanh(x_2_0),Excitation,True
157,9.90400000000000,7.632*sin(x_1_0*x_2_0),Kuramoto,True
158,x_1_0*(1.292 - 1.943*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
159,-0.967*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
160,-7.084*x_1_0,2.95*x_2_0*(1 - x_1_0),Epidemic,True
161,0.618*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
162,1.327*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
163,-0.28*x_1_0**1.0,x_2_0**1.0,Population,True
164,-2.037*x_1_0 + 2.191*tanh(x_1_0),tanh(x_2_0),Excitation,True
165,-0.333124020407178*x_1_0*(x_1_0 - 5.611)*(x_1_0 - 0.535) + 0.078,x_1_0*x_2_0/(0.969*x_1_0 + 0.106*x_2_0 + 4.999),Mutualistic,True
166,-0.295*x_1_0**1.0,x_2_0**1.0,Population,True
167,-1.117*x_1_0,4.663*x_2_0*(1 - x_1_0),Epidemic,True
168,5.06000000000000,9.334*sin(x_1_0*x_2_0),Kuramoto,True
169,-0.280322168662*x_1_0*(x_1_0 - 5.609)*(x_1_0 - 0.636) + 0.132,x_1_0*x_2_0/(0.917*x_1_0 + 0.095*x_2_0 + 4.292),Mutualistic,True
170,0.0,-1.67*x_1_0 + 1.67*x_2_0,Heat,True
171,0.0,-1.18*x_1_0 + 1.18*x_2_0,Heat,True
172,-x_1_0,exp(0.401*x_2_0)/(exp(0.401*x_2_0) + 34.1788489160262),Neural,True
173,0.551*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
174,-x_1_0,exp(1.626*x_2_0)/(exp(1.626*x_2_0) + 8058838.52096351),Neural,True
175,0.0,-0.625*x_1_0 + 0.625*x_2_0,Heat,True
176,5.76900000000000,7.7*sin(x_1_0*x_2_0),Kuramoto,True
177,-7.147*x_1_0,2.704*x_2_0*(1 - x_1_0),Epidemic,True
178,6.27500000000000,9.347*sin(x_1_0*x_2_0),Kuramoto,True
179,-1.242*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
180,x_1_0*(1.412 - 1.456*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
181,-x_1_0,exp(1.219*x_2_0)/(exp(1.219*x_2_0) + 443.634045177126),Neural,True
182,1.083*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
183,5.23400000000000,5.765*sin(x_1_0*x_2_0),Kuramoto,True
184,-x_1_0,exp(2.587*x_2_0)/(exp(2.587*x_2_0) + 75690689670.176),Neural,True
185,x_1_0*(0.152 - 1.326*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
186,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
187,0.0,-1.053*x_1_0 + 1.053*x_2_0,Heat,True
188,x_1_0*(1.394 - 1.239*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
189,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
190,-1.151*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
191,5.85800000000000,8.589*sin(x_1_0*x_2_0),Kuramoto,True
192,-7.624*x_1_0,2.343*x_2_0*(1 - x_1_0),Epidemic,True
193,-1.764*x_1_0,3.216*x_2_0*(1 - x_1_0),Epidemic,True
194,-0.143554613199272*x_1_0*(x_1_0 - 4.958)*(x_1_0 - 1.405) + 0.148,x_1_0*x_2_0/(0.953*x_1_0 + 0.086*x_2_0 + 4.071),Mutualistic,True
195,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
196,0.834*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
197,x_1_0*(1.654 - 1.975*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
198,-0.437*x_1_0**1.0,x_2_0**1.0,Population,True
199,-0.83*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
200,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
201,x_1_0*(1.454 - 0.39*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
202,0.0,-1.692*x_1_0 + 1.692*x_2_0,Heat,True
203,0.794*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
204,-4.403*x_1_0 + 2.088*tanh(x_1_0),tanh(x_2_0),Excitation,True
205,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
206,5.73200000000000,9.166*sin(x_1_0*x_2_0),Kuramoto,True
207,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
208,-1.27*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
209,-2.802*x_1_0,2.67*x_2_0*(1 - x_1_0),Epidemic,True
210,-x_1_0,exp(1.545*x_2_0)/(exp(1.545*x_2_0) + 10244.179811238),Neural,True
211,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
212,0.0,-1.881*x_1_0 + 1.881*x_2_0,Heat,True
213,7.08400000000000,9.562*sin(x_1_0*x_2_0),Kuramoto,True
214,x_1_0*(1.48 - 1.572*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
215,-1.143*x_1_0**1.0,x_2_0**1.0,Population,True
216,-6.118*x_1_0,0.204*x_2_0*(1 - x_1_0),Epidemic,True
217,-6.593*x_1_0,4.202*x_2_0*(1 - x_1_0),Epidemic,True
218,0.0,-0.658*x_1_0 + 0.658*x_2_0,Heat,True
219,-0.379*x_1_0**1.0,x_2_0**1.0,Population,True
220,x_1_0*(0.938 - 0.636*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
221,-x_1_0,exp(0.576*x_2_0)/(exp(0.576*x_2_0) + 99.1918645159674),Neural,True
222,0.0,-1.008*x_1_0 + 1.008*x_2_0,Heat,True
223,-3.852*x_1_0 + 2.663*tanh(x_1_0),tanh(x_2_0),Excitation,True
224,-x_1_0,exp(0.538*x_2_0)/(exp(0.538*x_2_0) + 10.8352206571484),Neural,True
225,8.85500000000000,8.773*sin(x_1_0*x_2_0),Kuramoto,True
226,-0.276147052723928*x_1_0*(x_1_0 - 5.597)*(x_1_0 - 0.647) + 0.076,x_1_0*x_2_0/(0.935*x_1_0 + 0.089*x_2_0 + 4.855),Mutualistic,True
227,x_1_0*(1.142 - 0.592*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
228,-0.831*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
229,-x_1_0,exp(0.383*x_2_0)/(exp(0.383*x_2_0) + 10.0924538395846),Neural,True
230,-2.998*x_1_0,1.422*x_2_0*(1 - x_1_0),Epidemic,True
231,-0.151516161622896*x_1_0*(x_1_0 - 4.918)*(x_1_0 - 1.342) + 0.05,x_1_0*x_2_0/(0.948*x_1_0 + 0.119*x_2_0 + 4.351),Mutualistic,True
232,-1.425*x_1_0 + 1.616*tanh(x_1_0),tanh(x_2_0),Excitation,True
233,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
234,-x_1_0,exp(2.761*x_2_0)/(exp(2.761*x_2_0) + 420678196717.719),Neural,True
235,5.02600000000000,7.99*sin(x_1_0*x_2_0),Kuramoto,True
236,-3.143*x_1_0 + 4.264*tanh(x_1_0),tanh(x_2_0),Excitation,True
237,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
238,-4.815*x_1_0 + 4.973*tanh(x_1_0),tanh(x_2_0),Excitation,True
239,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
240,-1.908*x_1_0**3.0,x_2_0**2.0,Population,True
241,0.0,-1.032*x_1_0 + 1.032*x_2_0,Heat,True
242,-0.541*x_1_0**3.0,x_2_0**1.0,Population,True
243,-1.904*x_1_0 + 2.647*tanh(x_1_0),tanh(x_2_0),Excitation,True
244,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
245,-x_1_0,exp(1.559*x_2_0)/(exp(1.559*x_2_0) + 528.634887604079),Neural,True
246,x_1_0*(1.146 - 1.518*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
247,-0.677*x_1_0**3.0,x_2_0**1.0,Population,True
248,1.113*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
249,5.47500000000000,7.531*sin(x_1_0*x_2_0),Kuramoto,True
250,-3.957*x_1_0 + 2.973*tanh(x_1_0),tanh(x_2_0),Excitation,True
251,-1.958*x_1_0 + 4.271*tanh(x_1_0),tanh(x_2_0),Excitation,True
252,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
253,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
254,-4.78*x_1_0 + 1.646*tanh(x_1_0),tanh(x_2_0),Excitation,True
255,7.56900000000000,8.707*sin(x_1_0*x_2_0),Kuramoto,True
256,-4.678*x_1_0 + 2.754*tanh(x_1_0),tanh(x_2_0),Excitation,True
257,-x_1_0,exp(2.112*x_2_0)/(exp(2.112*x_2_0) + 201.410275632837),Neural,True
258,-0.261590417419829*x_1_0*(x_1_0 - 5.63)*(x_1_0 - 0.679) + 0.137,x_1_0*x_2_0/(0.815*x_1_0 + 0.141*x_2_0 + 5.542),Mutualistic,True
259,-2.29*x_1_0,4.057*x_2_0*(1 - x_1_0),Epidemic,True
260,-1.919*x_1_0**3.0,x_2_0**1.0,Population,True
261,1.146*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
262,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
263,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
264,0.0,-1.785*x_1_0 + 1.785*x_2_0,Heat,True
265,-1.776*x_1_0**1.0,x_2_0**2.0,Population,True
266,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
267,-0.654*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
268,-1.334*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
269,x_1_0*(0.933 - 1.876*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
270,-7.8*x_1_0,2.119*x_2_0*(1 - x_1_0),Epidemic,True
271,-1.307*x_1_0**1.0,x_2_0**2.0,Population,True
272,-7.723*x_1_0,0.604*x_2_0*(1 - x_1_0),Epidemic,True
273,-6.274*x_1_0,4.241*x_2_0*(1 - x_1_0),Epidemic,True
274,-7.47*x_1_0,3.132*x_2_0*(1 - x_1_0),Epidemic,True
275,-5.651*x_1_0,2.839*x_2_0*(1 - x_1_0),Epidemic,True
276,-0.372*x_1_0**3.0,x_2_0**2.0,Population,True
277,-3.712*x_1_0 + 3.086*tanh(x_1_0),tanh(x_2_0),Excitation,True
278,-1.641*x_1_0,0.323*x_2_0*(1 - x_1_0),Epidemic,True
279,-4.393*x_1_0,3.139*x_2_0*(1 - x_1_0),Epidemic,True
280,-4.162*x_1_0 + 4.805*tanh(x_1_0),tanh(x_2_0),Excitation,True
281,-x_1_0,exp(2.523*x_2_0)/(exp(2.523*x_2_0) + 64140960105.2853),Neural,True
282,-0.66*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
283,-x_1_0,exp(2.817*x_2_0)/(exp(2.817*x_2_0) + 28619961.8755358),Neural,True
284,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
285,-0.128667009778693*x_1_0*(x_1_0 - 5.36)*(x_1_0 - 1.45) + 0.118,x_1_0*x_2_0/(0.863*x_1_0 + 0.057*x_2_0 + 5.206),Mutualistic,True
286,-0.849*x_1_0**1.0,x_2_0**1.0,Population,True
287,-1.069*x_1_0**3.0,x_2_0**2.0,Population,True
288,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
289,-1.473*x_1_0 + 4.002*tanh(x_1_0),tanh(x_2_0),Excitation,True
290,-x_1_0,exp(0.636*x_2_0)/(exp(0.636*x_2_0) + 5.33320302254307),Neural,True
291,x_1_0*(1.447 - 1.675*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
292,-0.948*x_1_0**1.0,x_2_0**2.0,Population,True
293,0.0,-0.861*x_1_0 + 0.861*x_2_0,Heat,True
294,x_1_0*(1.081 - 1.654*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
295,8.92900000000000,9.025*sin(x_1_0*x_2_0),Kuramoto,True
