,F_equation_0,F_equation_1,G_equation_0,G_equation_1,type,state
98,0.29*x_1_1,-0.224*x_1_1,-0.057*x_1_0*x_2_1,0.181*x_1_0*x_2_1,SIS,True
99,0.0,0.0,-0.065*x_1_0*x_2_1,0.024*x_1_0*x_2_1,SI,True
100,-x_1_0**3 + x_1_0 - x_1_1,0.611*x_1_0 + 0.05*x_1_1 + 0.242,0.976*x_1_0 - 0.976*x_2_0,0.0,FitzHughNagumo,True
101,0.333*x_1_1,-0.308*x_1_1,-0.141*x_1_0*x_2_1,0.127*x_1_0*x_2_1,SIS,True
102,0.285*x_1_1,-0.173*x_1_1,-0.097*x_1_0*x_2_1,0.048*x_1_0*x_2_1,SIS,True
103,0.394*x_1_1,-0.351*x_1_1,-0.168*x_1_0*x_2_1,0.199*x_1_0*x_2_1,SIS,True
104,0.18*x_1_1,-0.331*x_1_1,-0.192*x_1_0*x_2_1,0.161*x_1_0*x_2_1,SIS,True
105,0.228*x_1_1,-0.345*x_1_1,-0.13*x_1_0*x_2_1,0.145*x_1_0*x_2_1,SIS,True
106,-x_1_0**3 + x_1_0 - x_1_1,0.586*x_1_0 + 0.013*x_1_1 + 0.159,1.234*x_1_0 - 1.234*x_2_0,0.0,FitzHughNagumo,True
107,0.219*x_1_1,-0.349*x_1_1,-0.131*x_1_0*x_2_1,0.066*x_1_0*x_2_1,SIS,True
108,0.0,0.0,-0.063*x_1_0*x_2_1,0.198*x_1_0*x_2_1,SI,True
109,0.368*x_1_1,-0.332*x_1_1,-0.168*x_1_0*x_2_1,0.183*x_1_0*x_2_1,SIS,True
110,-x_1_0**3 + x_1_0 - x_1_1,0.918*x_1_0 + 0.036*x_1_1 + 0.151,1.412*x_1_0 - 1.412*x_2_0,0.0,FitzHughNagumo,True
111,0.0,0.0,-0.176*x_1_0*x_2_1,0.111*x_1_0*x_2_1,SI,True
112,0.289*x_1_1,-0.32*x_1_1,-0.087*x_1_0*x_2_1,0.113*x_1_0*x_2_1,SIS,True
113,-x_1_0**3 + x_1_0 - x_1_1,0.816*x_1_0 + 0.036*x_1_1 + 0.478,1.084*x_1_0 - 1.084*x_2_0,0.0,FitzHughNagumo,True
114,0.139*x_1_1,-0.172*x_1_1,-0.143*x_1_0*x_2_1,0.154*x_1_0*x_2_1,SIS,True
115,0.383*x_1_1,-0.128*x_1_1,-0.146*x_1_0*x_2_1,0.062*x_1_0*x_2_1,SIS,True
116,0.309*x_1_1,-0.155*x_1_1,-0.18*x_1_0*x_2_1,0.057*x_1_0*x_2_1,SIS,True
117,0.395*x_1_1,-0.329*x_1_1,-0.187*x_1_0*x_2_1,0.097*x_1_0*x_2_1,SIS,True
118,0.0,0.0,-0.121*x_1_0*x_2_1,0.085*x_1_0*x_2_1,SI,True
119,-x_1_0**3 + x_1_0 - x_1_1,0.669*x_1_0 + 0.05*x_1_1 + 0.375,0.593*x_1_0 - 0.593*x_2_0,0.0,FitzHughNagumo,True
120,0.252*x_1_1,-0.148*x_1_1,-0.181*x_1_0*x_2_1,0.185*x_1_0*x_2_1,SIS,True
121,0.0,0.0,-0.028*x_1_0*x_2_1,0.08*x_1_0*x_2_1,SI,True
122,0.0,0.0,-0.109*x_1_0*x_2_1,0.023*x_1_0*x_2_1,SI,True
123,-x_1_0**3 + x_1_0 - x_1_1,0.439*x_1_0 + 0.037*x_1_1 + 0.406,1.209*x_1_0 - 1.209*x_2_0,0.0,FitzHughNagumo,True
124,-x_1_0**3 + x_1_0 - x_1_1,0.675*x_1_0 + 0.033*x_1_1 + 0.344,0.567*x_1_0 - 0.567*x_2_0,0.0,FitzHughNagumo,True
125,-x_1_0**3 + x_1_0 - x_1_1,0.792*x_1_0 + 0.03*x_1_1 + 0.149,1.157*x_1_0 - 1.157*x_2_0,0.0,FitzHughNagumo,True
126,-x_1_0**3 + x_1_0 - x_1_1,0.414*x_1_0 + 0.048*x_1_1 + 0.245,0.964*x_1_0 - 0.964*x_2_0,0.0,FitzHughNagumo,True
127,-x_1_0**3 + x_1_0 - x_1_1,0.472*x_1_0 + 0.046*x_1_1 + 0.198,0.911*x_1_0 - 0.911*x_2_0,0.0,FitzHughNagumo,True
128,0.266*x_1_1,-0.14*x_1_1,-0.15*x_1_0*x_2_1,0.168*x_1_0*x_2_1,SIS,True
129,0.0,0.0,-0.125*x_1_0*x_2_1,0.178*x_1_0*x_2_1,SI,True
130,-x_1_0**3 + x_1_0 - x_1_1,0.122*x_1_0 + 0.039*x_1_1 + 0.213,1.372*x_1_0 - 1.372*x_2_0,0.0,FitzHughNagumo,True
131,0.32*x_1_1,-0.385*x_1_1,-0.199*x_1_0*x_2_1,0.106*x_1_0*x_2_1,SIS,True
132,-x_1_0**3 + x_1_0 - x_1_1,0.551*x_1_0 + 0.047*x_1_1 + 0.122,1.38*x_1_0 - 1.38*x_2_0,0.0,FitzHughNagumo,True
133,-x_1_0**3 + x_1_0 - x_1_1,0.99*x_1_0 + 0.044*x_1_1 + 0.124,1.08*x_1_0 - 1.08*x_2_0,0.0,FitzHughNagumo,True
134,0.125*x_1_1,-0.126*x_1_1,-0.084*x_1_0*x_2_1,0.173*x_1_0*x_2_1,SIS,True
135,0.331*x_1_1,-0.212*x_1_1,-0.039*x_1_0*x_2_1,0.177*x_1_0*x_2_1,SIS,True
136,0.0,0.0,-0.066*x_1_0*x_2_1,0.172*x_1_0*x_2_1,SI,True
137,-x_1_0**3 + x_1_0 - x_1_1,0.624*x_1_0 + 0.014*x_1_1 + 0.238,0.64*x_1_0 - 0.64*x_2_0,0.0,FitzHughNagumo,True
138,0.13*x_1_1,-0.336*x_1_1,-0.057*x_1_0*x_2_1,0.033*x_1_0*x_2_1,SIS,True
139,0.0,0.0,-0.027*x_1_0*x_2_1,0.123*x_1_0*x_2_1,SI,True
140,0.0,0.0,-0.17*x_1_0*x_2_1,0.085*x_1_0*x_2_1,SI,True
141,0.0,0.0,-0.099*x_1_0*x_2_1,0.148*x_1_0*x_2_1,SI,True
142,-x_1_0**3 + x_1_0 - x_1_1,0.356*x_1_0 + 0.049*x_1_1 + 0.297,0.746*x_1_0 - 0.746*x_2_0,0.0,FitzHughNagumo,True
143,0.0,0.0,-0.129*x_1_0*x_2_1,0.127*x_1_0*x_2_1,SI,True
144,-x_1_0**3 + x_1_0 - x_1_1,0.398*x_1_0 + 0.05*x_1_1 + 0.336,1.191*x_1_0 - 1.191*x_2_0,0.0,FitzHughNagumo,True
145,0.0,0.0,-0.023*x_1_0*x_2_1,0.107*x_1_0*x_2_1,SI,True
146,0.0,0.0,-0.145*x_1_0*x_2_1,0.057*x_1_0*x_2_1,SI,True
147,0.0,0.0,-0.188*x_1_0*x_2_1,0.041*x_1_0*x_2_1,SI,True
148,0.122*x_1_1,-0.311*x_1_1,-0.168*x_1_0*x_2_1,0.028*x_1_0*x_2_1,SIS,True
149,0.0,0.0,-0.166*x_1_0*x_2_1,0.043*x_1_0*x_2_1,SI,True
150,-x_1_0**3 + x_1_0 - x_1_1,0.104*x_1_0 + 0.034*x_1_1 + 0.428,0.96*x_1_0 - 0.96*x_2_0,0.0,FitzHughNagumo,True
151,0.0,0.0,-0.159*x_1_0*x_2_1,0.149*x_1_0*x_2_1,SI,True
152,0.369*x_1_1,-0.39*x_1_1,-0.19*x_1_0*x_2_1,0.16*x_1_0*x_2_1,SIS,True
153,-x_1_0**3 + x_1_0 - x_1_1,0.825*x_1_0 + 0.047*x_1_1 + 0.158,0.98*x_1_0 - 0.98*x_2_0,0.0,FitzHughNagumo,True
154,0.0,0.0,-0.094*x_1_0*x_2_1,0.077*x_1_0*x_2_1,SI,True
155,0.211*x_1_1,-0.264*x_1_1,-0.163*x_1_0*x_2_1,0.177*x_1_0*x_2_1,SIS,True
156,0.0,0.0,-0.074*x_1_0*x_2_1,0.163*x_1_0*x_2_1,SI,True
157,0.0,0.0,-0.183*x_1_0*x_2_1,0.18*x_1_0*x_2_1,SI,True
158,0.157*x_1_1,-0.179*x_1_1,-0.022*x_1_0*x_2_1,0.142*x_1_0*x_2_1,SIS,True
159,0.282*x_1_1,-0.167*x_1_1,-0.055*x_1_0*x_2_1,0.02*x_1_0*x_2_1,SIS,True
160,0.0,0.0,-0.185*x_1_0*x_2_1,0.132*x_1_0*x_2_1,SI,True
161,-x_1_0**3 + x_1_0 - x_1_1,0.161*x_1_0 + 0.044*x_1_1 + 0.498,0.572*x_1_0 - 0.572*x_2_0,0.0,FitzHughNagumo,True
162,0.0,0.0,-0.049*x_1_0*x_2_1,0.18*x_1_0*x_2_1,SI,True
163,0.0,0.0,-0.133*x_1_0*x_2_1,0.126*x_1_0*x_2_1,SI,True
164,0.177*x_1_1,-0.189*x_1_1,-0.168*x_1_0*x_2_1,0.152*x_1_0*x_2_1,SIS,True
165,-x_1_0**3 + x_1_0 - x_1_1,0.747*x_1_0 + 0.014*x_1_1 + 0.103,1.169*x_1_0 - 1.169*x_2_0,0.0,FitzHughNagumo,True
166,-x_1_0**3 + x_1_0 - x_1_1,0.139*x_1_0 + 0.022*x_1_1 + 0.437,0.803*x_1_0 - 0.803*x_2_0,0.0,FitzHughNagumo,True
167,0.349*x_1_1,-0.134*x_1_1,-0.047*x_1_0*x_2_1,0.022*x_1_0*x_2_1,SIS,True
168,0.0,0.0,-0.072*x_1_0*x_2_1,0.183*x_1_0*x_2_1,SI,True
169,-x_1_0**3 + x_1_0 - x_1_1,0.946*x_1_0 + 0.045*x_1_1 + 0.381,1.408*x_1_0 - 1.408*x_2_0,0.0,FitzHughNagumo,True
170,-x_1_0**3 + x_1_0 - x_1_1,0.18*x_1_0 + 0.025*x_1_1 + 0.316,1.155*x_1_0 - 1.155*x_2_0,0.0,FitzHughNagumo,True
171,0.286*x_1_1,-0.297*x_1_1,-0.024*x_1_0*x_2_1,0.093*x_1_0*x_2_1,SIS,True
172,0.191*x_1_1,-0.4*x_1_1,-0.05*x_1_0*x_2_1,0.127*x_1_0*x_2_1,SIS,True
173,0.0,0.0,-0.046*x_1_0*x_2_1,0.142*x_1_0*x_2_1,SI,True
174,0.0,0.0,-0.037*x_1_0*x_2_1,0.109*x_1_0*x_2_1,SI,True
175,-x_1_0**3 + x_1_0 - x_1_1,0.674*x_1_0 + 0.023*x_1_1 + 0.406,0.775*x_1_0 - 0.775*x_2_0,0.0,FitzHughNagumo,True
176,0.0,0.0,-0.093*x_1_0*x_2_1,0.076*x_1_0*x_2_1,SI,True
177,-x_1_0**3 + x_1_0 - x_1_1,0.602*x_1_0 + 0.027*x_1_1 + 0.167,0.947*x_1_0 - 0.947*x_2_0,0.0,FitzHughNagumo,True
178,0.362*x_1_1,-0.383*x_1_1,-0.044*x_1_0*x_2_1,0.183*x_1_0*x_2_1,SIS,True
179,0.0,0.0,-0.131*x_1_0*x_2_1,0.059*x_1_0*x_2_1,SI,True
180,-x_1_0**3 + x_1_0 - x_1_1,0.135*x_1_0 + 0.02*x_1_1 + 0.421,0.511*x_1_0 - 0.511*x_2_0,0.0,FitzHughNagumo,True
181,0.0,0.0,-0.097*x_1_0*x_2_1,0.088*x_1_0*x_2_1,SI,True
182,0.0,0.0,-0.189*x_1_0*x_2_1,0.024*x_1_0*x_2_1,SI,True
183,0.13*x_1_1,-0.127*x_1_1,-0.067*x_1_0*x_2_1,0.105*x_1_0*x_2_1,SIS,True
184,0.358*x_1_1,-0.136*x_1_1,-0.038*x_1_0*x_2_1,0.088*x_1_0*x_2_1,SIS,True
185,0.0,0.0,-0.031*x_1_0*x_2_1,0.173*x_1_0*x_2_1,SI,True
186,0.38*x_1_1,-0.356*x_1_1,-0.044*x_1_0*x_2_1,0.144*x_1_0*x_2_1,SIS,True
187,0.338*x_1_1,-0.113*x_1_1,-0.023*x_1_0*x_2_1,0.136*x_1_0*x_2_1,SIS,True
188,0.178*x_1_1,-0.164*x_1_1,-0.185*x_1_0*x_2_1,0.088*x_1_0*x_2_1,SIS,True
189,0.0,0.0,-0.137*x_1_0*x_2_1,0.023*x_1_0*x_2_1,SI,True
190,-x_1_0**3 + x_1_0 - x_1_1,0.444*x_1_0 + 0.035*x_1_1 + 0.23,1.128*x_1_0 - 1.128*x_2_0,0.0,FitzHughNagumo,True
191,0.256*x_1_1,-0.257*x_1_1,-0.117*x_1_0*x_2_1,0.123*x_1_0*x_2_1,SIS,True
192,0.0,0.0,-0.154*x_1_0*x_2_1,0.074*x_1_0*x_2_1,SI,True
193,0.0,0.0,-0.07*x_1_0*x_2_1,0.18*x_1_0*x_2_1,SI,True
194,0.284*x_1_1,-0.31*x_1_1,-0.022*x_1_0*x_2_1,0.052*x_1_0*x_2_1,SIS,True
195,0.0,0.0,-0.113*x_1_0*x_2_1,0.143*x_1_0*x_2_1,SI,True
196,0.308*x_1_1,-0.347*x_1_1,-0.129*x_1_0*x_2_1,0.068*x_1_0*x_2_1,SIS,True
197,-x_1_0**3 + x_1_0 - x_1_1,0.751*x_1_0 + 0.017*x_1_1 + 0.277,0.845*x_1_0 - 0.845*x_2_0,0.0,FitzHughNagumo,True
198,0.0,0.0,-0.104*x_1_0*x_2_1,0.148*x_1_0*x_2_1,SI,True
199,0.0,0.0,-0.136*x_1_0*x_2_1,0.101*x_1_0*x_2_1,SI,True
200,-x_1_0**3 + x_1_0 - x_1_1,0.348*x_1_0 + 0.028*x_1_1 + 0.462,0.553*x_1_0 - 0.553*x_2_0,0.0,FitzHughNagumo,True
201,0.0,0.0,-0.155*x_1_0*x_2_1,0.133*x_1_0*x_2_1,SI,True
202,-x_1_0**3 + x_1_0 - x_1_1,0.131*x_1_0 + 0.012*x_1_1 + 0.397,1.181*x_1_0 - 1.181*x_2_0,0.0,FitzHughNagumo,True
203,-x_1_0**3 + x_1_0 - x_1_1,0.12*x_1_0 + 0.022*x_1_1 + 0.391,0.753*x_1_0 - 0.753*x_2_0,0.0,FitzHughNagumo,True
204,0.0,0.0,-0.177*x_1_0*x_2_1,0.108*x_1_0*x_2_1,SI,True
205,-x_1_0**3 + x_1_0 - x_1_1,0.56*x_1_0 + 0.011*x_1_1 + 0.168,0.905*x_1_0 - 0.905*x_2_0,0.0,FitzHughNagumo,True
206,-x_1_0**3 + x_1_0 - x_1_1,0.627*x_1_0 + 0.038*x_1_1 + 0.36,0.883*x_1_0 - 0.883*x_2_0,0.0,FitzHughNagumo,True
207,0.291*x_1_1,-0.153*x_1_1,-0.02*x_1_0*x_2_1,0.087*x_1_0*x_2_1,SIS,True
208,-x_1_0**3 + x_1_0 - x_1_1,0.224*x_1_0 + 0.034*x_1_1 + 0.101,0.941*x_1_0 - 0.941*x_2_0,0.0,FitzHughNagumo,True
